transform,engine,n_cores,median_s,mean_s,std_s,speedup
T1,pandas,0,9.43703280699998,8.663036195200004,1.4573727018446319,
T2,pandas,0,8.344689528000004,7.444774013599999,1.3980047557583486,
T3,pandas,0,10.11879184199995,9.435780432199977,1.9916342676653072,
T4,pandas,0,12.295508591000043,11.811400044399988,0.7696740157551244,
T5,pandas,0,6.26930439299997,6.793820332199994,1.2884758011476862,
T1,spark,4,6.209999317999973,6.706755686799989,1.7744086700673498,1.51965118251242
T2,spark,4,4.363113449000025,4.5721187409999855,1.0164101182505687,1.9125538736363845
T4,spark,4,8.381231679999928,8.180182270599971,0.7928459119642665,1.467028840205041
T5,spark,4,2.4504178260000344,2.7607698093999944,0.7689965300931579,2.558463428758897
T3,spark,1,7.891464717999952,8.517237757800013,1.5279723804468173,1.282245084226202
T3,spark,2,7.058974465000006,7.401356855600011,0.7896656107877871,1.433464859827899
T3,spark,4,7.087361557999884,7.652585236200002,1.1588240732435036,1.4277233860855214
